GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vino-demo-svc,net.vino9.vino.demo.api.rest,SlowController,0,10,0,0,0,4,0,2,0,2
vino-demo-svc,net.vino9.vino.demo.api.rest,HelloController,0,5,0,0,0,2,0,2,0,2
vino-demo-svc,net.vino9.vino.demo.api.rest,SlowService,1,14,0,0,1,5,0,2,0,2
vino-demo-svc,net.vino9.vino.demo.api.dgs,CasaAccountDataFetcher,0,26,0,0,0,8,0,3,0,3
vino-demo-svc,net.vino9.vino.demo,DemoServiceApplication,5,3,0,0,2,1,1,1,1,1
